mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_num_leaves,param_n_estimators,param_min_child_samples,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21.503555631637575,2.0730016548644308,0.7430243492126465,0.04151718866404787,0.7,1.0,31,700,40,0.03,1.0,"{'subsample': 0.7, 'reg_lambda': 1.0, 'num_leaves': 31, 'n_estimators': 700, 'min_child_samples': 40, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.9247806863209878,0.9249903802587188,0.9186090646518361,0.9231620143683748,0.9223958468856361,0.9227875984971107,0.0023055779418103784,7
26.179000329971313,2.7366560473578274,1.2383384704589844,0.1858032140293796,0.7,0.5,63,700,40,0.05,1.0,"{'subsample': 0.7, 'reg_lambda': 0.5, 'num_leaves': 63, 'n_estimators': 700, 'min_child_samples': 40, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.9210742758185103,0.9216737657864762,0.9151814807599913,0.9186705898829541,0.9176502449746149,0.9188500714445095,0.0023601139647699654,18
45.290625143051145,3.4734323054685765,2.181506395339966,0.017920361754950154,1.0,1.0,127,1000,20,0.05,0.7,"{'subsample': 1.0, 'reg_lambda': 1.0, 'num_leaves': 127, 'n_estimators': 1000, 'min_child_samples': 20, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",0.9191324385265289,0.9188642305413928,0.9139450327010616,0.9165565263043502,0.9171633505935461,0.917132315733376,0.0018703630581852393,20
51.43286309242249,4.380080719932028,2.4177557945251467,0.11218331167689105,0.9,2.0,127,1000,40,0.1,0.7,"{'subsample': 0.9, 'reg_lambda': 2.0, 'num_leaves': 127, 'n_estimators': 1000, 'min_child_samples': 40, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.9143384001608929,0.9128221688584031,0.9087773016261389,0.9112911537199764,0.9126359567020187,0.911972996213486,0.0018672503691896179,25
22.921142101287842,1.7683872520492854,0.9362845420837402,0.15297340896941947,1.0,0.0,63,700,20,0.1,0.7,"{'subsample': 1.0, 'reg_lambda': 0.0, 'num_leaves': 63, 'n_estimators': 700, 'min_child_samples': 20, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.9189274958656717,0.9187252317770116,0.9136272711302755,0.9176478215039905,0.9169712905465769,0.9171798221647054,0.0019144598143819517,19
12.775744962692261,1.8287673840073213,0.38433990478515623,0.028366298904889856,0.7,0.5,63,400,20,0.1,0.7,"{'subsample': 0.7, 'reg_lambda': 0.5, 'num_leaves': 63, 'n_estimators': 400, 'min_child_samples': 20, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.9215344800322167,0.9216393588888467,0.9158343827330818,0.9188102902093317,0.9190040084204125,0.919364504056778,0.0021346019251149368,16
53.58119249343872,3.940408347296518,2.279737186431885,0.3503193269788073,0.9,0.5,127,1000,20,0.1,1.0,"{'subsample': 0.9, 'reg_lambda': 0.5, 'num_leaves': 127, 'n_estimators': 1000, 'min_child_samples': 20, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.9150397077601202,0.9133738271799887,0.9086213066834107,0.912569757688652,0.9125835332058844,0.9124376265036112,0.0021095185686695987,24
33.32507853507995,1.956669244625534,1.502634620666504,0.0787468812382392,1.0,1.0,127,700,20,0.03,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'num_leaves': 127, 'n_estimators': 700, 'min_child_samples': 20, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.9217155706454123,0.921861425279108,0.9158780051945805,0.9189239701142704,0.9189772226924606,0.9194712387851665,0.0022002226936947496,14
18.860712623596193,3.9007688984613127,0.5688663959503174,0.1213259385967057,0.7,1.0,63,400,10,0.03,0.9,"{'subsample': 0.7, 'reg_lambda': 1.0, 'num_leaves': 63, 'n_estimators': 400, 'min_child_samples': 10, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.9251884989380259,0.9251606928075967,0.9190482229411355,0.9231450181862337,0.9226754388650199,0.9230435743476024,0.0022446175406666265,6
11.6113760471344,1.6234109404705857,0.40931153297424316,0.0828388525740877,0.7,2.0,31,400,40,0.05,0.9,"{'subsample': 0.7, 'reg_lambda': 2.0, 'num_leaves': 31, 'n_estimators': 400, 'min_child_samples': 40, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.9247231289065102,0.9249506799922231,0.918675582528069,0.9232167975595905,0.9222473774221315,0.922762713281705,0.002271863953902967,8
20.84558172225952,1.017481506409034,0.707617998123169,0.04325841966926047,0.9,2.0,127,400,20,0.03,0.7,"{'subsample': 0.9, 'reg_lambda': 2.0, 'num_leaves': 127, 'n_estimators': 400, 'min_child_samples': 20, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",0.9242703226541105,0.9242242767225284,0.9187244664706695,0.9222232383792032,0.9219512675771773,0.9222787143607377,0.0020245835889136864,11
20.941693353652955,1.8927931552499075,0.947560453414917,0.04647470253308809,1.0,0.0,63,700,40,0.1,0.7,"{'subsample': 1.0, 'reg_lambda': 0.0, 'num_leaves': 63, 'n_estimators': 700, 'min_child_samples': 40, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.9184531334846366,0.9181253272681105,0.9120615819054284,0.9160577377845602,0.915412106077605,0.9160219773040682,0.0022975010286810614,21
12.300723600387574,1.8038180304695839,0.4264353275299072,0.06808087756935631,0.7,1.0,31,400,10,0.03,0.7,"{'subsample': 0.7, 'reg_lambda': 1.0, 'num_leaves': 31, 'n_estimators': 400, 'min_child_samples': 10, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",0.9257972682453894,0.925997459629373,0.9196569922484991,0.9241776079987795,0.9238418297662396,0.9238942315776562,0.002283959810272936,1
35.3159423828125,3.3229788447796826,1.6274062156677247,0.317789604945721,0.7,1.0,31,1000,20,0.01,0.9,"{'subsample': 0.7, 'reg_lambda': 1.0, 'num_leaves': 31, 'n_estimators': 1000, 'min_child_samples': 20, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",0.9252771150348864,0.9262317071455791,0.9194353403991729,0.9242479205346533,0.9235220591949282,0.9237428284618439,0.002341233131144913,2
24.883863592147826,4.148560127530907,1.372012996673584,0.31662935573594453,1.0,2.0,31,1000,20,0.05,0.9,"{'subsample': 1.0, 'reg_lambda': 2.0, 'num_leaves': 31, 'n_estimators': 1000, 'min_child_samples': 20, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.9224286767174136,0.9230222993367568,0.9178068322787465,0.9211627786544789,0.9206785628462056,0.9210198299667203,0.001814110496230859,12
49.76180310249329,3.6520468541623736,2.210342359542847,0.3939615235356329,0.7,0.0,127,1000,20,0.05,1.0,"{'subsample': 0.7, 'reg_lambda': 0.0, 'num_leaves': 127, 'n_estimators': 1000, 'min_child_samples': 20, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.9180212456055871,0.9172911752430031,0.9118764096584083,0.9155270933811701,0.9156400398673672,0.9156711927511072,0.0021245802194369105,22
21.713928079605104,2.330142248941923,0.799837589263916,0.04812405187930121,0.7,0.5,31,700,40,0.03,1.0,"{'subsample': 0.7, 'reg_lambda': 0.5, 'num_leaves': 31, 'n_estimators': 700, 'min_child_samples': 40, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.9243565790564162,0.9252322489505816,0.918611424346391,0.9231021929092822,0.9222386082850043,0.9227082107095352,0.002291169752128871,9
11.878070735931397,0.9369494144447713,0.3414334774017334,0.024780439381835828,0.7,0.5,31,400,10,0.03,1.0,"{'subsample': 0.7, 'reg_lambda': 0.5, 'num_leaves': 31, 'n_estimators': 400, 'min_child_samples': 10, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.9250218056503907,0.9259432025984957,0.9192373492709228,0.9240818968530087,0.9234105476584427,0.923538960406252,0.002314922837402335,4
31.39348683357239,2.5556707160009364,1.4228541374206543,0.2056993991699425,0.7,0.5,127,700,20,0.1,1.0,"{'subsample': 0.7, 'reg_lambda': 0.5, 'num_leaves': 127, 'n_estimators': 700, 'min_child_samples': 20, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.9162593509672883,0.9152678328255898,0.9097570212950634,0.9137603832961141,0.9139424624706441,0.91379741017094,0.0022167746252358326,23
19.039086866378785,2.2354028399331822,0.5552944660186767,0.09461688679178487,0.9,2.0,63,400,20,0.01,0.7,"{'subsample': 0.9, 'reg_lambda': 2.0, 'num_leaves': 63, 'n_estimators': 400, 'min_child_samples': 20, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",0.9254355015599335,0.9257558779273884,0.9193175469980206,0.923868137177621,0.9234286918003529,0.9235611510926633,0.0022999990080764788,3
33.96349043846131,2.1779514938889086,1.3074880123138428,0.10219578061802953,1.0,0.5,127,700,10,0.03,0.9,"{'subsample': 1.0, 'reg_lambda': 0.5, 'num_leaves': 127, 'n_estimators': 700, 'min_child_samples': 10, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.9226158260058174,0.9223641358825645,0.9166429288834935,0.919813288170045,0.9199089195963875,0.9202690197076617,0.002162540615897755,13
21.877939224243164,2.543465211932641,0.6460224151611328,0.1163213465132035,1.0,1.0,127,400,20,0.05,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'num_leaves': 127, 'n_estimators': 400, 'min_child_samples': 20, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.9216716930817996,0.9217420374897429,0.9158719465193724,0.9191137980172439,0.9186402008368371,0.9194079351889991,0.0021795312308191582,15
15.837239265441895,1.9929589015559848,0.4140350341796875,0.03332129640280623,0.9,0.0,63,400,20,0.05,0.7,"{'subsample': 0.9, 'reg_lambda': 0.0, 'num_leaves': 63, 'n_estimators': 400, 'min_child_samples': 20, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",0.9242424208603887,0.9240473634064499,0.9189912713941786,0.921782581266623,0.9224200497041071,0.9222967373263493,0.0019003180529565567,10
14.776464033126832,1.5895756361778721,0.39187040328979494,0.038635526135911265,0.7,0.5,63,400,20,0.1,0.9,"{'subsample': 0.7, 'reg_lambda': 0.5, 'num_leaves': 63, 'n_estimators': 400, 'min_child_samples': 20, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",0.9215159213534213,0.9211389123166522,0.9152605943031042,0.9187019036744406,0.9177712909547404,0.9188777245204717,0.002298338181976264,17
14.74906849861145,5.607893271225104,0.33304572105407715,0.07992082456996337,0.7,0.5,31,400,40,0.01,0.9,"{'subsample': 0.7, 'reg_lambda': 0.5, 'num_leaves': 31, 'n_estimators': 400, 'min_child_samples': 40, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",0.924379458527268,0.9257473638943329,0.9185758057137197,0.9239087303105766,0.9231402190766425,0.9231503155045079,0.0024395445350077,5
